location_id,latitude,longitude,distance_from_nearest_flood_km,flood_occurred,location_type,elevation_m,nearest_drain_distance_km,drain_type,drain_width_m,drain_depth_m,water_flow,drain_status,drain_length_km,drainage_capacity_score,flood_probability,flood_risk_level,data_source
1,12.9,80.1,10.466,0,BACKGROUND,29.0,10.275742957599233,Side Drain,0.30,0.30,Yes,Good,0.225224,0.2850448,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
2,12.9,80.16,4.088,0,BACKGROUND,19.0,3.900244464948654,Side Drain,0.30,0.30,Yes,Good,0.225224,0.2850448,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
3,12.9,80.22,1.8565,0,BACKGROUND,2.0,0.3474504201325433,Side Drain,0.75,0.75,Yes,Good,0.241122,0.6482244000000001,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
4,12.9,80.28,5.705,0,BACKGROUND,0.0,3.402041953799167,SWD,0.75,0.75,Yes,Good,0.217576,0.6435152000000001,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
5,12.9,80.345,12.6302,0,BACKGROUND,0.0,9.816445006453856,SWD,0.75,0.75,Yes,Good,0.217576,0.6435152000000001,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
6,12.905,80.15,5.0204,0,BACKGROUND,25.0,4.830020468215395,Side Drain,0.30,0.30,Yes,Good,0.225224,0.2850448,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
7,12.905,80.215,1.8491,0,BACKGROUND,3.0,1.1220277502501503,Side Drain,0.75,0.75,Yes,Good,0.241122,0.6482244000000001,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
8,12.905,80.28,5.5791,0,BACKGROUND,0.0,3.0514663230468058,SWD,0.75,0.75,Yes,Good,0.217576,0.6435152000000001,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
9,12.905,80.34,11.9667,0,BACKGROUND,0.0,9.167816474982004,SWD,0.75,0.75,Yes,Good,0.217576,0.6435152000000001,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
10,12.91,80.145,5.5133,0,BACKGROUND,29.0,5.32453321447155,Side Drain,0.30,0.30,Yes,Good,0.225224,0.2850448,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
11,12.91,80.22,1.1067,0,BACKGROUND,3.0,1.00137050037806,Side Drain,0.60,0.60,Yes,Good,0.354829,0.5509658,0.0,LOW,Background spatial locations; elevation: Copernicus GLO-90 via Open-Meteo; drainage: Greater Chennai Corporation
